Iterations;alpha-0.25;alpha-4.00;alpha-1.00;alpha-2.00;alpha-3.00;alpha-0.33;alpha-0.50
0;111;111;111;111;111;111;111
10000;59;98;67;86;95;61;60
20000;60;104;65;84;94;60;62
30000;61;113;71;85;101;59;60
40000;58;117;70;101;96;61;64
50000;58;115;71;96;101;59;64
60000;59;117;72;85;88;60;58
70000;58;117;77;89;96;59;66
80000;59;118;72;89;103;65;62
90000;61;124;68;84;109;59;65
100000;59;108;66;96;111;60;61
110000;59;116;73;89;106;59;61
120000;58;115;69;81;94;62;63
130000;61;116;74;84;105;59;63
140000;57;116;67;88;100;59;61
150000;59;112;75;90;112;62;68
160000;58;118;72;89;103;62;61
170000;58;112;77;97;109;61;66
180000;60;111;66;78;105;63;66
190000;59;119;69;96;117;61;67
200000;59;114;65;89;105;59;67
210000;58;121;75;91;102;63;65
220000;59;109;66;106;110;67;57
230000;58;113;69;87;103;62;61
240000;58;118;69;88;120;62;63
250000;59;115;67;94;98;59;63
260000;59;116;65;75;107;59;57
270000;59;116;67;87;102;59;62
280000;60;117;70;89;96;63;59
290000;62;112;68;87;103;61;69
300000;58;111;65;92;114;60;59
310000;59;119;74;111;107;59;62
320000;58;117;69;75;97;61;60
330000;59;112;65;88;113;64;70
340000;58;123;64;85;108;60;58
350000;61;119;75;84;101;61;62
360000;58;111;69;88;108;60;62
370000;59;109;69;86;108;60;63
380000;58;110;67;90;108;61;58
390000;61;118;73;103;112;60;58
400000;59;117;71;86;101;61;62
410000;60;113;63;74;98;61;67
420000;59;109;74;97;102;61;63
430000;61;101;69;88;104;61;61
440000;59;109;69;91;108;60;61
450000;57;102;75;77;116;61;61
460000;60;105;70;77;108;60;64
470000;58;116;66;77;106;61;65
480000;57;112;66;85;107;60;66
490000;57;116;64;84;107;59;66
500000;58;115;74;82;100;59;63
510000;57;114;65;82;108;61;65
520000;58;120;71;77;104;59;66
530000;57;119;68;85;94;62;67
540000;58;112;67;88;105;59;66
550000;58;121;72;83;94;59;61
560000;59;112;71;85;112;60;66
570000;58;102;63;87;104;62;64
580000;57;121;71;85;115;64;65
590000;57;108;67;76;105;63;65
600000;57;105;69;85;114;61;67
610000;57;109;66;81;110;64;61
620000;57;108;66;80;105;62;61
630000;57;110;66;86;99;62;66
640000;57;105;74;87;117;63;60
650000;58;113;69;87;100;64;60
660000;58;120;71;79;106;62;66
670000;58;121;73;87;112;61;63
680000;57;115;71;86;114;60;65
690000;57;110;68;84;110;59;62
700000;57;106;68;91;106;61;65
710000;57;108;72;87;112;61;63
720000;58;109;72;92;102;62;66
730000;57;104;69;94;103;60;65
740000;57;116;65;93;108;61;65
750000;57;101;66;90;106;60;65
760000;57;110;70;88;115;59;63
770000;57;109;67;96;104;63;65
780000;57;119;66;83;94;60;62
790000;57;116;73;83;109;61;65
800000;57;110;66;84;104;63;61
810000;57;110;75;101;108;59;64
820000;58;111;73;93;119;63;62
830000;57;117;65;86;109;60;62
840000;57;113;70;87;110;59;62
850000;57;117;74;80;118;60;66
860000;57;104;68;93;110;60;67
870000;58;101;69;97;108;64;64
