Iterations;alpha-0.25;alpha-4.00;alpha-1.00;alpha-2.00;alpha-3.00;alpha-0.33;alpha-0.50
0;57;57;57;57;57;57;57
10000;57;59;61;61;61;58;57
20000;57;63;60;58;66;57;59
30000;57;67;58;63;71;57;60
40000;57;75;63;66;71;58;58
50000;57;77;63;68;73;59;58
60000;57;74;60;72;73;58;59
70000;57;78;62;67;76;58;57
80000;57;79;69;73;67;59;58
90000;57;84;64;76;62;57;59
100000;58;80;67;71;75;58;60
110000;58;87;66;72;74;57;58
120000;57;78;68;69;80;59;58
130000;58;82;70;72;83;60;59
140000;58;85;69;83;88;61;58
150000;57;82;70;81;92;59;58
160000;58;84;65;75;86;59;58
170000;57;88;69;92;96;59;58
180000;58;82;76;84;111;60;58
190000;57;79;68;75;119;58;59
200000;57;79;68;98;110;59;58
210000;57;88;70;79;107;59;60
220000;57;93;67;82;109;58;58
230000;57;91;67;74;97;60;58
240000;57;100;66;90;109;59;58
250000;57;107;67;85;111;58;58
260000;58;112;65;84;118;58;57
270000;57;110;65;77;107;59;59
280000;57;109;66;80;109;59;57
290000;57;114;74;78;114;58;58
300000;58;121;70;87;104;59;58
310000;57;107;69;92;106;58;59
320000;57;112;65;82;92;60;60
330000;57;114;66;81;98;59;59
340000;57;118;71;100;109;62;60
350000;57;115;68;82;111;61;60
360000;58;112;67;83;116;59;59
370000;57;112;75;81;111;59;59
380000;59;123;71;89;107;59;60
390000;58;125;70;90;95;59;59
400000;57;108;73;86;99;59;59
410000;58;117;74;82;101;60;61
420000;59;111;72;88;109;59;61
430000;57;115;67;79;105;60;61
440000;57;109;67;81;113;60;61
450000;57;111;70;74;101;60;62
460000;57;105;67;91;105;58;61
470000;57;109;63;93;107;59;59
480000;57;114;70;84;110;59;60
490000;57;115;63;97;96;59;60
500000;57;111;65;92;107;59;59
510000;58;111;69;98;110;59;59
520000;57;110;66;88;110;60;61
530000;58;118;71;84;103;60;62
540000;58;114;61;93;104;59;61
550000;58;120;73;79;113;58;60
560000;59;112;75;91;106;58;61
570000;59;113;67;73;107;59;60
580000;60;125;68;91;115;59;62
590000;59;121;69;89;111;58;61
600000;59;116;71;88;105;59;61
610000;58;116;76;83;104;59;59
620000;58;115;72;79;107;58;61
630000;58;120;67;91;100;60;65
640000;59;123;68;82;99;58;60
650000;58;123;68;89;95;59;61
660000;58;119;64;88;93;58;59
670000;58;102;70;83;98;60;62
680000;59;119;72;92;107;60;63
690000;58;123;69;94;99;59;62
700000;59;120;70;94;110;60;60
710000;59;116;68;86;107;59;64
720000;58;117;67;88;112;59;64
730000;58;115;64;92;115;60;60
740000;59;111;67;85;101;59;62
750000;59;116;68;92;114;59;61
760000;58;120;69;88;108;58;60
770000;59;121;70;92;106;59;61
780000;58;119;68;96;98;59;61
790000;58;122;69;88;107;58;59
800000;58;116;69;94;114;59;62
810000;58;117;69;84;105;58;61
820000;59;110;71;85;111;59;63
830000;58;108;71;73;110;58;62
840000;59;115;72;85;113;60;61
850000;59;119;68;92;101;59;64
860000;58;118;66;91;113;58;60
870000;58;105;70;81;113;61;63
880000;60;106;69;88;109;61;63
890000;59;114;72;85;103;59;62
900000;59;121;65;100;98;60;60
910000;58;111;64;81;103;59;61
920000;58;119;67;95;106;60;60
930000;60;116;70;86;108;59;60
940000;58;117;65;88;98;60;62
950000;58;109;68;89;106;60;62
960000;58;110;72;91;105;60;59
970000;58;113;70;87;116;58;59
980000;59;112;72;82;102;60;61
990000;58;116;67;90;98;58;62
1000000;58;122;73;84;103;60;63
