;Lambda bias;Alpha bias;Homogeneous neighborhoods
0;2.0;4.0;121.0
1;0.33;2.0;62.0
2;0.5;0.5;60.0
3;4.0;1.0;74.0
4;3.0;1.0;66.0
5;0.5;0.33;57.0
6;1.0;0.25;58.0
7;2.0;1.0;75.0
8;4.0;4.0;96.0
9;0.25;0.33;57.0
10;0.25;0.5;59.0
11;0.33;3.0;76.0
12;3.0;4.0;98.0
13;4.0;0.25;58.0
14;0.33;0.33;57.0
15;1.0;4.0;122.0
16;0.5;2.0;75.0
17;0.33;0.5;59.0
18;0.25;3.0;64.0
19;3.0;0.25;58.0
20;0.5;3.0;78.0
21;0.25;2.0;59.0
22;2.0;0.25;57.0
23;1.0;1.0;73.0
24;0.25;1.0;58.0
25;2.0;0.33;58.0
26;1.0;2.0;84.0
27;0.5;4.0;86.0
28;2.0;0.5;60.0
29;4.0;0.33;58.0
30;0.25;4.0;74.0
31;0.33;0.25;57.0
32;3.0;0.5;57.0
33;3.0;0.33;58.0
34;0.5;1.0;69.0
35;4.0;0.5;59.0
36;1.0;3.0;103.0
37;2.0;2.0;111.0
38;1.0;0.33;60.0
39;0.33;4.0;75.0
40;0.25;0.25;57.0
41;3.0;3.0;103.0
42;1.0;0.5;63.0
43;4.0;3.0;96.0
44;0.33;1.0;63.0
45;4.0;2.0;107.0
46;2.0;3.0;129.0
47;3.0;2.0;110.0
48;0.5;0.25;58.0
